# TODO: Translate to Simplified Chinese
# Source: customize_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 2702

"HASH_F5497400": "HIGHLY ILLOGICAL"
"HASH_C416F969": "军人"
"cm_suit_m_fun": "FUNTIME! SUIT"
"cm_lbdy_bountyhunter": "RANSOM COLLECTOR PANTS"
"cf_hat_80shairbow": "BIGGER BOW"
"HASH_611E4969": "羞涩新娘"
"HASH_CE2D0B69": "灰色 7"
"HASH_7B30076A": "油光高加索 1"
"HASH_2B0A0D6A": "羞红灰"
"Space Princess": "SPACE PRINCESS OUTFIT"
"cf_hair_fauxhawk_01": "QUIFF"
"HASH_444E2B6A": "白色"
"HASH_E32A056A": "MADE IN AMERICA"
"HASH_8D970F6B": "PURPLE TENTACLE"
"HASH_DF3F236B": "下胸"
"HASH_B9B5536B": "\\"QUARTER CIRCLE FORWARD + A\\""
"HASH_051BBB6B": "前保险杠"
"Nobody Loves Me Female D": "HIPSTER GIRL"
"HASH_4E4F336B": "深蓝绿"
"HASH_680B856C": "TOO HOT TO HANDLE"
"HASH_B61A916C": "EM RAILGUN"
"cm_pack_bountyhunter": "RANSOM COLLECTOR ROCKET PACK"
"HASH_7B45696D": "The latest in a long line of death-dealers"
"HASH_5D93576D": "耳朵深度"
"HASH_17E1516D": "兄弟衬衫组合"
"HASH_CBB9036D": "蒸汽朋克露指手套"
"HASH_F74CA76D": "山丘 T 恤"
"HASH_6671656D": "HONOR LOYALTY DUTY"
"HASH_2A7AC56E": "Powerful current now causes targets to burst into flame!"
"HASH_962E436E": "右手"
"cf_suit_fempresident": "MADAME PRESIDENT"
"HASH_9495A96E": "黑色"
"HASH_9100656E": "卫兵"
"HASH_3E0B5D6E": "手部"
"HASH_A3F83D6F": "虎"
"HASH_2F83936F": "车轮"
"Planet Saints Male F": "STREET BALL"
"HASH_D364D36F": "Run around as the Devil's own daughter, sporting her adorable little miss princess costume! Cute with a touch of absolute evil!"
"cm_suit_misfortune": "IRON ROGUE SUIT"
"HASH_844EED6F": "RAGGED SHIRT"
"HASH_395F2D6F": "猫步"
"HASH_F5F8F970": "It's hunting season ..."
"HASH_1E9E6570": "独立潮鞋"
"HASH_82540D70": "加油！队短裙"
"HASH_1B2B5770": "VINTAGE ALLURE"
"HASH_66738D70": "忧郁"
"HASH_C940CF70": "灰色 3"
"HASH_F3EC2B71": "DEEP SILVER"
"HASH_6D4EC571": "目瞪口呆"
"HASH_922E0D71": "人生苦短耳环"
"HASH_130D8371": "钢埠英雄裤"
"HASH_A9C56B71": "精灵短发"
"HASH_6F1AD171": "NINJA2 SHOES"
"HASH_52724B71": "额外弹药"
"HASH_BED89772": "升天"
"HASH_91E1D972": "拳击绷带"
"HASH_C24F6B72": "少年兵靴"
"HASH_F027C773": "颅后宽度"
"HASH_5B33F173": "嘴部深度"
"HASH_7C5DC373": "OILED AFRICAN AMERICAN 1"
"HASH_CEF80173": "颧骨"
"HASH_952C7D73": "车门改装"
"HASH_9D67A173": "莓红"
"HASH_201B2F73": "卡巴纳凉鞋"
"HASH_F27BF773": "摔跤手"
"HASH_FDAC9174": "油箱盖"
"HASH_A7584D74": "深布伦瑞克绿"
"HASH_02278974": "催化绿"
"cf_suit_bathtowel": "TOWEL WRAP"
"HASH_ABBF3374": "舔蟾蜍"
"HASH_4CBA4B75": "Remember: Short, controlled bursts."
"HASH_FF662375": "鼻型"
"HASH_77642975": "混战格斗臂甲"
"HASH_E6131175": "倾心丁字裤"
"HASH_BAB71975": "圣徒连帽衫（帽合上）"
"HASH_02F45175": "浅棕"
"HASH_2A0C8176": "船长裤"
"HASH_3E32E976": "浣熊眼"
"HASH_F9B6B377": "SCOPE POWER"
"HASH_6EC1BD77": "TEAL METAL"
"HASH_C3E53177": "性感小猫面具"
"HASH_60937F77": "哥特高定"
"HASH_EA9F7F77": "CARDINAL "
"HASH_33748978": "蓬巴杜"
"HASH_4AE05D78": "莉兹"
"HASH_372CF978": "比基尼晒痕，短裤"
"HASH_99E2C979": "The future is here. And it's purple."
"HASH_0F90E579": "上背"
"HASH_B7954779": "淤青梅紫"
"HASH_42FF4779": "湿身时刻泳裤"
"HASH_5411CB79": "浑身穿孔"
"HASH_A1F2F379": "被误解项圈"
"cm_ubdy_vnecksweat": "FITTED V-NECK"
"HASH_76E27379": "埃及祭司"
"HASH_DDB51F79": "橙色 8"
"HASH_F066A97A": "上唇中部高低"
"HASH_87C9617A": "随机"
"HASH_75F1AD7A": "选项 2"
"HASH_4CF7D57A": "桌面灰"
"HASH_59F5AB7A": "赛艇蓝"
"HASH_8E11897A": "Astro A40 圣徒耳机"
"HASH_E229D17A": "女式罚球球衣"
"HASH_B3901D7A": "皮肤 01"
"HASH_7DEA0F7B": "GOLD-PLATED"
"HASH_419BF37B": "风格"
"HASH_6F7BCB7B": "亮面"
"HASH_CFF2AD7B": "背心"
"cm_hat_postapocman": "APOCALYPTIC GOGGLES"
"HASH_25EEBB7B": "暗藏王牌"
"HASH_1A6C237C": "时尚大衣配马甲"
"cm_suit_m_hero2": "GENERIC HERO SUIT"
"HASH_A371F77C": "EVA HELMET"
"cm_hat_bountyhunter": "RANSOM COLLECTOR HELMET"
"HASH_C7C9C17C": "量产"
"HASH_D4202F7D": "The original party-in-a-gun"
"HASH_4034817D": "非裔 5"
"HASH_7C2B1F7D": "前挡泥板"
"cm_suit_bountyhunter": "RANSOM COLLECTOR SUIT"
"HASH_3BB06D7D": "下巴带须"
"HASH_5A344B7D": "紫红 3"
"HASH_943CE77D": "棕色 2"
"HASH_33B7CF7E": "Suck 'em up in style."
"HASH_D5AF4F7E": "摔跤手士兵"
"HASH_C586AF7E": "亮黄"
"HASH_3FD0117E": "骨纹"
"HASH_6245397F": "Bullets now explode on impact."
"HASH_B8F96D7F": "RED PLAID"
"HASH_892A737F": "ALL-AMERICAN"
"HASH_EBC3117F": "拉美裔 2"
"HASH_BCBBBF7F": "悲伤入骨连帽衫"
"cm_hair_70smaleshort": "DISCO BUSINESSMAN"
"HASH_07767B7F": "分裂人格"
"HASH_85BDBF80": "It's a purple people popper."
"cm_hat_80sbandana": "HACHIMAKI"
"cm_foot_postapocman": "APOCALYPTIC BOOTS"
"HASH_B72DD581": "Just like an old gangster movie."
"HASH_02587581": "年龄"
"HASH_EDF5CD81": "轮辋套组 13"
"HASH_2D4F3B81": "K12 97.6"
"HASH_4C377381": "淘气女孩手套"
"HASH_5B996782": "嘴角高低"
"HASH_81DA9B82": "双臂"
"HASH_2DCBD382": "青铜"
"cm_foot_benking": "SUAVE SLIP-ONS"
"HASH_098DD982": "蓝紫 4"
"HASH_DDACEF82": "下身"
"HASH_07FEE583": "河神"
"Gang_Customization": "帮派自定义"
"HASH_5063E783": "真人秀狂欢裤"
"cf_lbdy_80sskirtleggings": "SKIRT AND LEGGINGS"
"HASH_5BFE7583": "TRIBAL FLEUR"
"HASH_D067C583": "第三街圣徒"
"HASH_87B2E783": "绿色 8"
"HASH_3EFAB184": "OUTBACK CAMO"
"HASH_6010EF84": "You got a problem with that?"
"HASH_CACCB784": "Time for a block party."
"HASH_2AB28D84": "双下巴深度"
"HASH_C9C6C184": "眉骨"
"HASH_8BEC5384": "鼻尖高低"
"HASH_D6A18B84": "微醺"
"HASH_F704CF84": "白人 4"
"cm_suit_team6body": "ZERO SAINTS THIRTY"
"cm_hair_highponytail_01": "CROYDON FACELIFT"
"HASH_4F645F84": "亮粉"
"HASH_CC69BB85": "跳跃鞋"
"HASH_1C0E1D86": "下颌高度"
"HASH_FE604B86": "亚洲 5"
"HASH_519CEB86": "贴花 9"
"HASH_7B0A7B86": "染色 80%%"
"HASH_505B4586": "兄弟会"
"HASH_17EFCF87": "耳朵高度"
"HASH_86906987": "头顶"
"HASH_CB3E6F87": "布"
"HASH_385E1587": "蓝色 9"
"HASH_629BAD88": "TRIO"
"HASH_F60D5188": "街头客"
"HASH_8AA8BD89": "Somebody got a little too up close and personal."
"HASH_C7436F89": "ZinTek T.R.P.R."
"HASH_EC23A989": "饰条 2"
"HASH_4C755589": "轰炸机夹克"
"HASH_1F0AA989": "封王"
"HASH_3046218A": "If you're actually using this weapon, we salute you!"
"HASH_2B5A0D8A": "SONIC GUN"
"HASH_DDB2698A": "KARDAK LASERSHOT"
"HASH_764F358A": "鼻子深度"
"HASH_CB788B8A": "混战格斗臂甲"
"HASH_87DCFF8B": "眉距"
"HASH_6628278B": "右下臂"
"HASH_5B76138B": "街头营生"
"HASH_17F8A98B": "迷彩七分裤"
"HASH_F9FE9B8B": "门环须"
"HASH_B36E4D8C": "The weapon's flamethrower has a longer range"
"HASH_74C1BB8C": "Rain down on your enemies with a plague of explosive frogs!"
"HASH_D21AE78C": "嘴型"
"HASH_79E0F98D": "THREE COUNT MAN"
"HASH_2BB4BF8D": "荧光长裤"
"cm_suit_f_hero": "STEELPORT HEROINE SUIT"
"HASH_E552C38D": "眼睛"
"HASH_BF1B218E": "备胎"
"HASH_E69AA58E": "DARK PURPLE METAL"
"HASH_DE7FCB8E": "现代"
"male_obese": "男·肥胖"
"HASH_EBBA8B8E": "夜刃"
"HASH_0C737F8E": "迪斯科狂热衬衫"
"HASH_3A9E338E": "Z 风耳环"
"HASH_55624B8E": "狼之魂"
"HASH_2CEA298E": "黄色 1"
"HASH_37BAD38F": "典雅项链"
"HASH_CF15658F": "都市长裤"
"HASH_E01A3B8F": "糖果小孩墨镜"
"HASH_4DCAC18F": "山丘休闲 T"
"HASH_0C82DF8F": "丝带发箍发型"
"HASH_78AA618F": "BLOCK LEGS"
"HASH_CC6A278F": "紫罗兰 2"
"HASH_0528A190": "TOUGH GUY"
"HASH_4D8EED90": "Rock on!"
"HASH_6198C390": "For that 21st-Century military look"
"HASH_E14B1790": "钢埠卫队制服"
"HASH_84EEFB90": "欧版长裤"
"HASH_F42F1B90": "山丘夹克配马甲"
"HASH_18676D90": "掌舵"
"HASH_F504DF91": "ACIDIC AMMO"
"HASH_53240F91": "非裔"
"HASH_DF4B8191": "MODERN SOLDIER"
"HASH_38476391": "胡茬"
"HASH_445FBF91": "摔跤手"
"HASH_54C0A392": "淡黄染"
"HASH_4C446F92": "芥末绿"
"HASH_5C1BD792": "跳投"
"HASH_FE935F92": "马蹄须"
"HASH_6D5A6B92": "下背"
"HASH_CC49DD93": "SOAKMASTER"
"HASH_70CCE593": "Brings the boom."
"HASH_BB603F93": "DOMINATOR"
"HASH_C1A96193": "赞美"
"HASH_A508B193": "圣徒狂野丁字裤"
"HASH_CD8F0794": "Reduces the weapon's recoil, improving aim"
"HASH_4E381594": "GOLD-PLATED"
"HASH_806F1994": "How many richochets can you get?"
"HASH_4F6B6594": "XENOBLASTER"
"HASH_56514B94": "脱掉全部衣物"
"HASH_DD92C994": "真爱"
"HASH_C9F9C594": "硬汉机车靴"
"HASH_28641594": "骑士"
"HASH_85480995": "COOL KILLS"
"HASH_20436595": "TREBUCHET"
"HASH_4905A795": "盖特风墨镜"
"HASH_ACF92995": "THUG SWEATSHIRT"
"HASH_D3020F95": "紧身超短裤"
"cm_udwr_testtypea": "!!TEST UNDERWEAR A!!"
"cm_lp35c_suit_m_ninja": "VIOLET NINJA"
"HASH_8CD62395": "亮绿"
"HASH_AB9CAF96": "GOLD-PLATED"
"HASH_173DE596": "耳朵长度"
"HASH_FD119D96": "穿着选项"
"HASH_294F6996": "次要表面"
"cf_suit_50sfem": "50s GIRL SUIT"
"HASH_CB07E396": "紫罗兰 6"
"HASH_931C9397": "GOLD-PLATED"
"HASH_3DAD9B97": "旋叶"
"HASH_EFA1A397": "深橙染"
"HASH_0F130597": "森林绿"
"HASH_EE2F9397": "死亡赛靴"
"cf_hair_marcelwave-01": "MARCEL WAVE"
"HASH_520F8F97": "你熟悉的恶魔"
"HASH_2B87ED97": "黄色 5"
"HASH_BEEF8B98": "MEAN AND CLEAN"
"HASH_F3601998": "派对狂人"
"cm_hair_choppybob-01": "LAYERED BOB"
"HASH_1760B798": "太空圣徒"
"HASH_F595BD99": "Kills with this weapon now grant additional cache."
"HASH_CA619F99": "女性默认"
"cm_ubdy_president_vest": "PRESIDENTIAL SUIT"
"HASH_7745BF9A": "Inserts an explosive charge and rocket motor into targets."
"HASH_C21A7F9A": "下巴宽度"
"HASH_0093219A": "欢呼"
"HASH_50A7E19A": "抹胸配夹克"
"HASH_D70A019A": "机器人桑"
"HASH_36D63F9A": "PURITY"
"HASH_AE27419A": "达利"
"HASH_A587C19B": "TOO GOOD FOR YOU"
"HASH_E9BD219C": "休闲连帽衫"
"HASH_EDAFFF9D": "Simple. Straightforward. Lethal."
"HASH_30F9059D": "If you're going to erase someone from existence, do it in style."
"HASH_C20B259D": "耳朵"
"HASH_657E899D": "MAERO MULLET"
"HASH_405A8D9D": "圣徒花连帽衫"
"cf_hair_frenchbraid-02": "DOUBLE FRENCH BRAID"
"HASH_7DD9F59E": "J7 ROCKET LAUNCHER"
"HASH_F2F1D19E": "迪斯科男跟鞋"
"cm_lp35p_eyes_m_forged": "FORGED"
"HASH_F90D8F9F": "亚洲 1"
"HASH_DBDF419F": "太空黑帮太空服"
"HASH_F301719F": "欢乐时光！上衣"
"tat_neck_fleur": "圣徒花"
"HASH_5736819F": "部落环纹"
"HASH_B37E0BA0": "HOP DISTANCE"
"HASH_F9138BA0": "BLUE STEEL"
"HASH_47EE71A0": "传家宝戒"
"cm_mask_amazonion": "AMAZON MASK"
"HASH_CA24BDA0": "ISIS"
"Default": "默认"
"HASH_54B72BA1": "BENEVOLENCE"
"HASH_F574EFA2": "安保 1"
"HASH_87FE4DA2": "基础波波头"
"HASH_6B2DE1A3": "SUNNY OUTLOOK"
"HASH_583B5DA3": "淡橙染"
"HASH_94393DA3": "徽标平角裤"
"HASH_D365FFA3": "破碎的心"
"HASH_0CF411A3": "莫西干"
"HASH_9E7C8BA4": "星际男"
"HASH_013B03A4": "深蓝"
"HASH_F89927A5": "That's just nasty."
"HASH_002221A5": "咬龟红"
"HASH_7A049FA5": "左鼻钉"
"HASH_FC73D5A5": "CAPTAIN BOOTS"
"HASH_9C75CBA5": "CASUAL LEATHER JACKET"
"SPACE SMUGGLER": "PUCKISH ROGUE"
"HASH_278235A6": "红色 6"
"HASH_1DD895A7": "LIGHTNING SHOTS"
"HASH_099375A7": "EFFECTIVE RANGE"
"HASH_D6B295A7": "Cry some more!"
"HASH_F2FC81A7": "返回队列将放弃你当前的设置。\n确定要这么做吗？"
"HASH_604B5DA7": "银河鸽灰"
"player_lips": "口红"
"HASH_1C82F1A7": "私家侦探耳环"
"HASH_ACC561A7": "疣 3"
"HASH_96FDAFA8": "双下巴高度"
"HASH_3E9117A8": "一抹蓝"
"HASH_CF5C1BA8": "熏蒸器 3000"
"HASH_83EDF9A8": "巴黎猫步夹克"
"HASH_4B5DD9A8": "作战裤"
"HASH_A7E153A8": "都市狩猎低领"
"cm_hair_50sgreaser": "THE GREASER"
"HASH_8E04ABA8": "绿色 4"
"HASH_EC5593A9": "上唇侧高低"
"HASH_4AB54FA9": "你已达到可选择项的数量上限。"
"HASH_897877A9": "THE LEAN"
"HASH_AB5C49A9": "COME AT ME BRO"
"female_athletic": "女·健美"
"HASH_5AD607A9": "重磅紧身裤"
"HASH_905A03A9": "BUCKET HAT"
"HASH_320F0FA9": "脏辫双尾"
"HASH_003B95A9": "蓝紫 8"
"HASH_1F3625AA": "BLACK BART"
"HASH_D56A3FAA": "Be a scoundrel, or just look like one."
"HASH_F8EE7BAA": "双下巴宽度"
"HASH_2DB7FFAA": "鼻梁高低"
"HASH_E028F7AA": "货箱改装"
"HASH_97B8EFAA": "军人短发"
"HASH_F1D913AA": "都市狩猎 T 恤"
"HASH_EDEA03AB": "Represent."
"HASH_DC02A1AB": "CUMIA MAGNUM"
"HASH_DDDEFBAB": "枕头公主"
"HASH_4CA279AB": "查兹米色"
"HASH_61E6C1AB": "糖果橙"
"cm_hair_revolutionary": "REVOLUTIONARY"
"HASH_3693BDAB": "蓝绿 3"
"HASH_703EAFAC": "Aye, lad, 'tis a bonnie plaid gun."
"cf_hair_longstraight-03": "HIME CUT"
"HASH_E67035AC": "红橙 3"
"HASH_31E859AC": "蓝色 5"
"HASH_0BF841AD": "STEAMPUNK"
"HASH_FB700DAD": "GOLD-PLATED"
"HASH_6EBAE5AD": "Girl Power, baby!"
"HASH_582AA7AD": "贴花 5"
"HASH_C73387AD": "ORANGE METAL"
"HASH_7AD387AD": "蓝波"
"HASH_4393DFAD": "圣徒鸢尾戒指"
"HASH_394CE9AD": "摇滚唇环"
"cf_ubdy_hillstshirt": "CAP SLEEVE TOP"
"HASH_039765AD": "亮橙"
"HASH_96AA31AE": "时髦蒸汽朋克"
"HASH_A2F515AE": "SKELETON GLOVES"
"HASH_485611AF": "Sweet-looking weapon, dude."
"HASH_E9661DAF": "氮气"
"HASH_CED2AFAF": "THE NEXT DEEP VOYAGER"
"HASH_480977B0": "眉头高低"
"HASH_AC318DB0": "YOU CHICKEN?"
"HASH_3BDA8DB0": "新潮现代"
"HASH_A08C97B1": "都市猎装有领款"
"cf_hair_funbob-01": "FUN BOB"
"HASH_A7910DB1": "法式须"
"HASH_95D161B1": "大伤疤 4"
"HASH_A5055FB2": "Overinflated enemies' explosions now damage others nearby."
"HASH_57F55DB2": "All boxed up and ready to rumble"
"HASH_DAB33FB2": "才不"
"HASH_CF4C1BB2": "冷洗蓝"
"cm_hair_mohawkshort": "SHORT HAWK"
"HASH_31FE79B2": "蓝绿 7"
"HASH_8ED50DB3": "Destroy enemies with the power of sound!"
"HASH_58560FB3": "升级保险杠耐久度，就能对挡路的任何东西造成毁灭性伤害。"
"HASH_66E187B3": "食尸鬼笑"
"HASH_104689B4": "下巴深度"
"HASH_5F4763B4": "贴花 1"
"HASH_7F888BB4": "深灰"
"cf_hat_amazontiara": "AMAZON TIARA"
"HASH_9E512BB4": "文胸"
"HASH_DBFB55B5": "假装一下"
"HASH_8DC8F3B5": "整个左腿"
"HASH_84A495B5": "饰条"
"HASH_481367B5": "男模衬衫"
"HASH_AA919FB5": "圣徒爆炸头"
"HASH_DB7983B5": "战士公主下装"
"HASH_E11DF1B5": "红橙 7"
"HASH_36859DB5": "蓝色 1"
"HASH_8473D3B6": "DEEP SILVER"
"HASH_59883DB6": "眼球间距"
"HASH_73696FB6": "亮红"
"HASH_5ACAE7B6": "慵懒日七分裤"
"HASH_8FDD3BB6": "暗号靴"
"HASH_9E0343B6": "红发"
"HASH_1EB117B7": "Bling that bounce, playa!"
"HASH_22FDBBB7": "FLAMETHROWER"
"HASH_3A0B31B7": "秋木棕"
"HASH_CC89D7B7": "神秘人 T恤"
"HASH_9C00B5B8": "ARMOR PIERCING AMMO"
"HASH_F3524FB8": "鼻孔间距"
"HASH_BF8315B8": "柠檬"
"HASH_A482ADB8": "金色"
"HASH_605C7BB8": "黑领结裙"
"HASH_0AEB0FB8": "海滩抹胸"
"cf_hair_wavybob-01": "KNIGHT OF FLOWERS"
"HASH_266643B9": "迷彩"
"HASH_788C1DB9": "Is good color, da, comrade?"
"HASH_E9134BB9": "巧克力棕"
"HASH_D4D23FB9": "蒸汽朋克手套"
"HASH_162395B9": "奶奶眼镜"
"HASH_CD4979B9": "左黑眼"
"HASH_68D0DFBA": "SINGULARITY GUN"
"HASH_6C4025BA": "HOOOOOOOOOOOOOOOOOOO"
"HASH_B9ED4DBA": "升级扭矩可让你在街头竞速中抢得加速优势，也能甩开警方追捕。"
"HASH_1E99E9BA": "现代男式毛衣"
"HASH_BDAEFBBA": "巡航发型"
"HASH_913EBFBA": "浅棕"
"HASH_45EFBDBB": "上唇侧大小"
"HASH_32DEC9BB": "{0} {1}(EQUIPPED)[/format]"
"HASH_C7DE39BB": "口红红"
"HASH_32CFABBB": "喷漆 4"
"HASH_B1B78FBB": "热狗"
"HASH_E3BBE1BC": "太阳穴间距"
"HASH_E7380FBC": "羽翼"
"HASH_77DF67BC": "船长靴"
"cm_lp35i_lbdy_f_stplegs": "APOC PANTS"
"HASH_2231A1BC": "黄色 9"
"HASH_ACACF5BD": "La Guitarra del muy conocido Mister Holt"
"HASH_604CDBBD": "GREEN METAL"
"HASH_11E63DBD": "商务休闲"
"HASH_7D2705BD": "正装鞋"
"HASH_6976D9BE": "退出角色创建？"
"HASH_EAABFBBE": "挡泥裙"
"HASH_45EBABBE": "车把"
"HASH_4E7651BE": "防御"
"HASH_1BEF35BE": "瓢虫耳环"
"HASH_EC42A5BE": "摩登男装配衬衫与领结"
"HASH_6B2E4FBE": "少年梦想"
"HASH_D804F3BE": "虹彩 2"
"HASH_97E037BF": "You'll look good in black."
"HASH_6B711DBF": "ION BLASTER"
"HASH_9052B7BF": "淡龙蒿灰"
"HASH_9E9E4FBF": "第三街连帽衫"
"HASH_F319E7BF": "MYSTERIOUS IN PINK"
"HASH_20EFF1BF": "红色 2"
"HASH_CA04A3C0": "极限"
"HASH_8C0803C0": "大鬃毛面具"
"HASH_450111C0": "好莱坞须"
"HASH_F8DC23C0": "自然女眉"
"HASH_E09E8FC1": "The weapon does more damage"
"HASH_70E65BC1": "全喷漆"
"male_bodybuilder": "男·健美"
"HASH_ED40ADC1": "极速赛车手"
"HASH_9FD53FC1": "叛逆马甲"
"HASH_0EDF07C1": "2015 墨镜"
"HASH_B978BDC1": "海洋馈赠"
"HASH_D2F343C1": "黄橙 2"
"HASH_2CBB95C2": "CAMOBLOCK"
"HASH_0F7165C2": "鼻中隔宽度"
"HASH_1C0385C2": "闺蜜左环"
"HASH_372799C2": "NEVER BE CONTROLLED"
"Level_1": "第 1 关"
"HASH_12FD95C3": "红心皇后耳环"
"cm_ubdy_fbitchtee": "FRECKLE BITCH'S TEE"
"cm_suit_goo01": "OOEY GOOEY"
"HASH_5CCFA9C3": "圣徒香皂"
"HASH_68CCC9C3": "黄绿 7"
"HASH_163E49C4": "强化保险杠"
"HASH_F29FF1C4": "熊猫面具"
"HASH_CEA975C4": "女武神头盔"
"HASH_A30463C4": "橙色 5"
"HASH_EF5971C5": "Bullets do extra damage to armored and mechanical targets."
"HASH_93F513C5": "USA! USA! USA!"
"cm_hat_donkey_mask": "DONKEY MASK"
"HASH_FD01E5C6": "The weapon powers-up and fires more rapidly"
"HASH_32DB41C7": "Even a potato gun can look threatening if you try hard enough."
"HASH_A406A3C7": "Big-League Basher"
"HASH_06B0E5C7": "骷髅面具"
"cm_lp35q_hat_buttons": "BUTTONS "
"cm_lp35e_foot_m_entertain": "ENTERTAINER SHOES"
"HASH_9F2EFFC7": "PERSEVERANCE"
"HASH_5C8975C7": "老者眉"
"HASH_6A8017C8": "Looks fast, shoots fast"
"HASH_4C9BA5C8": "Bang, bang.  You're dead."
"HASH_21C807C8": "朋克无政府"
"HASH_8A2993C9": "For those who prefer a more hard-edged sound."
"HASH_4FBD95C9": "额头"
"HASH_9F1A3DC9": "FOUR 20 103.6"
"HASH_E56CA5C9": "以眼还眼"
"HASH_1BF7D3C9": "痣 7"
"HASH_D3E5BDCA": "Lets the weapon regenerate its ammo charge more quickly"
"HASH_A57665CA": "别无选择鞋"
"HASH_F986ABCA": "花之力凉鞋"
"cm_msspcl_suit": "晨星帮专家"
"cm_lp35p_eyes_m_nerdy": "NERDY"
"HASH_BC24E1CB": "GOLD-PLATED"
"HASH_CEA405CB": "染色 50%%"
"HASH_5156E3CB": "巅峰超级变速"
"HASH_3D6BE1CB": "摔跤手帮特勤"
"HASH_476621CB": "坏坏兔拖鞋"
"HASH_39170DCB": "\\"Z\\""
"HASH_13FFB9CC": "七重纱"
"HASH_2FAC5DCC": "蒸汽朋克护目镜"
"HASH_63933DCC": "雕琢爆炸头"
"HASH_8C6B07CC": "潮人卡车帽"
"HASH_DB8945CD": "For St. Valentine's Day, or any day!"
"HASH_5F46AFCD": "后挡泥板"
"HASH_1E2EBBCD": "宽松短裤"
"HASH_77D327CD": "我好忧伤连帽衫"
"HASH_CF082FCD": "牛仔女王靴"
"HASH_5ABEB5CE": "OL' RUSTY"
"HASH_559CA3CE": "氮气"
"HASH_8B9DCDCE": "空中蝴蝶"
"HASH_AF0447CE": "圣徒永恒"
"HASH_F7E3B3CE": "花之力量"
"HASH_750AEBCE": "高弧度"
"HASH_924E0BCF": "Police Brutality, anyone?"
"HASH_BD1C1BCF": "整个右臂"
"HASH_835ACDCF": "便士锌"
"HASH_F6C455CF": "HELLISH PRINCESS"
"HASH_B8AD2BCF": "邻居衬衫配领带"
"HASH_F9F6E1CF": "蓬松波浪"
"HASH_0BACE5D0": "RECTIFIER"
"HASH_2C809DD0": "太阳穴深度"
"HASH_6ACD37D0": "炭灰"
"HASH_1DA97FD0": "深绿染"
"HASH_E20161D0": "硬派六人"
"HASH_E1915FD0": "ZOMBIE GENKI"
"HASH_1C9A17D0": "痣 3"
"HASH_D82E21D0": "深麻点"
"HASH_CB326BD1": "DUBSTEP GUN"
"HASH_EB9905D1": "高加索"
"HASH_C4940BD1": "丧尸长裤"
"HASH_D83429D2": "Increases the weapon's accuracy"
"HASH_006A0DD2": "贵宾腕表"
"HASH_D8CB05D2": "香肠肠衣"
"cm_ubdy_dlm": "DE LA MUERTE HOODIE"
"HASH_47EE51D2": "80 年代科幻"
"HASH_8DCA85D3": "Stalk your prey ..."
"none": "无"
"HASH_A025ADD3": "爱情机器平角裤"
"HASH_BF00A9D3": "紧马尾"
"HASH_2EA5C3D3": "红色"
"cf_hair_vintagebob-01": "VINTAGE BOB"
"HASH_2BEFF5D5": "You take less damage while wielding this weapon."
"HASH_520551D5": "A commanding choice."
"HASH_14927DD5": "TOUCHDOWN"
"HASH_CFFF43D5": "KLASSIC 102.4"
"HASH_DBC5A9D5": "驱魔耳环"
"HASH_411977D5": "圣徒劫案头巾"
"HASH_2BAEF3D5": "鲨袭"
"HASH_695275D5": "POWER"
"HASH_143041D5": "黑色"
"HASH_56D36DD6": "RAT STICK"
"HASH_C7042FD6": "道格拉斯"
"HASH_043FF9D6": "你有 %ls。手术费用 %ls。\n你想做手术吗？\n已做的更改无法撤销。"
"HASH_D99F87D6": "派对女孩高跟鞋"
"HASH_E0538FD6": "晨星帮专家"
"HASH_6C6FE1D7": "The outlaw's choice"
"HASH_0D82ABD7": "Don't taze me, bro!"
"HASH_CD8049D7": "香蕉黄"
"HASH_9845E9D7": "摩托党"
"HASH_8CF009D7": "龙之魂"
"HASH_A86983D7": "狼之魂"
"HASH_358B99D8": "内饰配件"
"HASH_E15253D8": "四骷髅"
"HASH_D59E87D8": "黄橙 6"
"HASH_080275D9": "THE GOOD DOCTOR"
"HASH_B11079D9": "喷漆 3"
"HASH_BDAC3FD9": "贴花 9"
"HASH_105351D9": "网络工装裤"
"HASH_256761D9": "朋克鼻环"
"HASH_C0929BD9": "迈阿密鞋"
"HASH_BF354FD9": "花哨渔网"
"HASH_F25FE3DA": "拉美裔"
"HASH_A4314BDA": "暗面靴"
"cm_ubdy_nolovetee": "NOBODY LOVES ME TEE"
"HASH_D6A7BFDA": "NINJA2 SHIRT"
"HASH_6FA10DDA": "黄绿 3"
"HASH_1DA673DB": "HOT BLADE"
"HASH_CA2E39DB": "This ain't no kid's toy."
"HASH_2D7027DB": "饰条"
"HASH_B7ECB9DB": "前轮"
"HASH_1B6E41DB": "精心打扮"
"HASH_98B163DB": "颊绷带"
"HASH_FF6305DC": "ABDUCT-O-MATIC"
"HASH_A1C38BDC": "摩登男式配毛衣"
"HASH_85E957DC": "优雅时装"
"HASH_E03E71DD": "No matter how alien the weapon, it still looks good in purple."
"HASH_32E39BDD": "唇部"
"Genki Pack": "欢乐时光装！"
"HASH_89DE45DD": "JERSEY"
"HASH_A469A7DD": "橙色 1"
"HASH_83D07BDE": "Kills with this weapon now reduce its overheat level."
"HASH_A24837DE": "DUST DEVIL"
"HASH_736C8BDE": "The scavenger's choice"
